Pathways	DMSO_1	DMSO_2	DMSO_3	DMSO_5	High_1	High_2	High_3	High_5	High_6	Low_1	Low_2	Low_3	Xu_20181212_SAHA_rapidAIM_Low_4_181214210722
1	Alanine, aspartate and glutamate metabolism [PATH:ko00250]	-0.10521500257469	0.0103374829543475	0.180154142914653	-0.176030441948863	0.0622574534883803	0.00205345629616613	0.0112323050003531	0.0851757212877103	-0.0296496754741822	-0.207957385284204	-0.0526131484302086	-0.0737162553215825	0.0968051828564564
2	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	-0.167576267108499	0.064682026327501	-0.253628971566736	-0.0914471528635527	-0.165192881048513	0.071505045671277	-0.0708487104647916	0.139980862229502	0.260389665802454	0.160712606710454	0.0189825874858278	-0.141464654672984	0.0784490626580459
3	Antimicrobial resistance genes [BR:ko01504]	0.134579727372497	-0.278363813482737	-0.144122494380557	0.424840596071515	0.0598141319877249	0.442040613538893	-0.187514791813331	0.152272688385781	-0.270284887562252	-0.364872366184054	0.10802721911057	0.0718097777960292	0.215444225997124
4	Arginine and proline metabolism [PATH:ko00330]	0.117185930657877	-0.180687103363749	-0.251257526225623	-0.405266703111138	0.0797024926073509	0.0270018841762195	0.181730948318733	0.165700092991737	0.0205810875961792	-0.35948632813965	0.157518953015322	0.116576576056288	0.144907192044554
5	Arginine biosynthesis [PATH:ko00220]	-0.102058171872165	-0.131422024415757	0.0290209636354695	-0.221152611066425	0.156505166883588	0.058094855794143	0.0032049860259965	0.167259613801475	0.0465100156947008	-0.227982010907398	-0.0344551059598793	0.00731297527020447	0.199848170121017
6	Bacterial motility proteins [BR:ko02035]	0.517930613733693	0.43630810785653	0.32912633990801	0.663741736284359	-0.311198082745158	-0.282560475604339	-0.534860765520278	-0.405327663771288	-0.340310656206201	-0.137713951726225	0.141173580096362	-0.080076383418752	-0.222113950976504
7	Benzoate degradation [PATH:ko00362]	0.250283026363228	0.238858778505236	0.216329248263052	0.353141207522966	-0.179686201414924	-0.00876607292820056	-0.372114829379469	-0.178499125026916	0.112439976189777	-0.0454227620274588	-0.134925485013991	-0.0607284462034359	-0.10293310259296
8	Biosynthesis of ansamycins [PATH:ko01051]	-0.304288891956101	0.104305623704184	0.0323372551117296	-0.150257600372578	0.306379198946322	0.00489283883378253	-0.0698211740576922	-0.031537752141344	-0.120088735324544	0.312930777021624	-0.000919275004263614	-0.0650010525407575	-0.317960825162861
9	Butanoate metabolism [PATH:ko00650]	0.131993363552664	0.137018662743545	0.196188294320363	0.199915219242317	-0.0767700831582889	-0.13109315718185	-0.244963027068185	-0.0924904229866111	-0.0285478897149983	0.0517492316334369	-0.0102090558549338	-0.0869160758749702	0.0461207966363943
10	Carbon fixation in photosynthetic organisms [PATH:ko00710]	0.0812682715025069	-0.044652629709768	-0.0230302741775829	0.0446593135462605	0.0776071630208225	0.0701760781386023	0.0549524171019855	0.0420635473973958	-0.0377249341485678	0.0119603053794333	0.042678797437057	0.0345794636406625	-0.00555143437131442
