Pathway	Conditions	Samples	GSVA	significance
1	Bacterial motility proteins [BR:ko02035]	DMSO	DMSO_1	0.517930613733693	1
2	Bacterial motility proteins [BR:ko02035]	DMSO	DMSO_3	0.32912633990801	1
3	Bacterial motility proteins [BR:ko02035]	DMSO	DMSO_2	0.43630810785653	1
4	Bacterial motility proteins [BR:ko02035]	DMSO	DMSO_5	0.663741736284359	1
5	Bacterial motility proteins [BR:ko02035]	High	High_1	-0.311198082745158	-1
6	Bacterial motility proteins [BR:ko02035]	High	High_3	-0.534860765520278	-1
7	Bacterial motility proteins [BR:ko02035]	High	High_6	-0.340310656206201	-1
8	Bacterial motility proteins [BR:ko02035]	High	High_5	-0.405327663771288	-1
9	Bacterial motility proteins [BR:ko02035]	High	High_2	-0.282560475604339	-1
10	Bacterial motility proteins [BR:ko02035]	Low	Low_1	-0.137713951726225	-1
11	Bacterial motility proteins [BR:ko02035]	Low	Low_3	-0.080076383418752	-1
12	Bacterial motility proteins [BR:ko02035]	Low	Low_2	0.141173580096362	-1
13	Bacterial motility proteins [BR:ko02035]	Low	Low_4	-0.222113950976504	-1
14	Benzoate degradation [PATH:ko00362]	DMSO	DMSO_1	0.250283026363228	1
15	Benzoate degradation [PATH:ko00362]	DMSO	DMSO_3	0.216329248263052	1
16	Benzoate degradation [PATH:ko00362]	DMSO	DMSO_2	0.238858778505236	1
17	Benzoate degradation [PATH:ko00362]	DMSO	DMSO_5	0.353141207522966	1
18	Benzoate degradation [PATH:ko00362]	High	High_1	-0.179686201414924	-1
19	Benzoate degradation [PATH:ko00362]	High	High_3	-0.372114829379469	-1
20	Benzoate degradation [PATH:ko00362]	High	High_6	0.112439976189777	-1
21	Benzoate degradation [PATH:ko00362]	High	High_5	-0.178499125026916	-1
22	Benzoate degradation [PATH:ko00362]	High	High_2	-0.00876607292820056	-1
23	Benzoate degradation [PATH:ko00362]	Low	Low_1	-0.0454227620274588	-1
24	Benzoate degradation [PATH:ko00362]	Low	Low_3	-0.0607284462034359	-1
25	Benzoate degradation [PATH:ko00362]	Low	Low_2	-0.134925485013991	-1
26	Benzoate degradation [PATH:ko00362]	Low	Low_4	-0.10293310259296	-1
27	Butanoate metabolism [PATH:ko00650]	DMSO	DMSO_3	0.196188294320363	1
28	Butanoate metabolism [PATH:ko00650]	DMSO	DMSO_5	0.199915219242317	1
29	Butanoate metabolism [PATH:ko00650]	DMSO	DMSO_1	0.131993363552664	1
30	Butanoate metabolism [PATH:ko00650]	DMSO	DMSO_2	0.137018662743545	1
31	Butanoate metabolism [PATH:ko00650]	High	High_6	-0.0285478897149983	-1
32	Butanoate metabolism [PATH:ko00650]	High	High_5	-0.0924904229866111	-1
33	Butanoate metabolism [PATH:ko00650]	High	High_3	-0.244963027068185	-1
34	Butanoate metabolism [PATH:ko00650]	High	High_1	-0.0767700831582889	-1
35	Butanoate metabolism [PATH:ko00650]	High	High_2	-0.13109315718185	-1
36	Butanoate metabolism [PATH:ko00650]	Low	Low_3	-0.0869160758749702	0
37	Butanoate metabolism [PATH:ko00650]	Low	Low_4	0.0461207966363943	0
38	Butanoate metabolism [PATH:ko00650]	Low	Low_1	0.0517492316334369	0
39	Butanoate metabolism [PATH:ko00650]	Low	Low_2	-0.0102090558549338	0
40	Chloroalkane and chloroalkene degradation [PATH:ko00625]	DMSO	DMSO_3	-0.113490814876174	-1
41	Chloroalkane and chloroalkene degradation [PATH:ko00625]	DMSO	DMSO_5	-0.208977891377495	-1
42	Chloroalkane and chloroalkene degradation [PATH:ko00625]	DMSO	DMSO_1	-0.422618414077557	-1
43	Chloroalkane and chloroalkene degradation [PATH:ko00625]	DMSO	DMSO_2	-0.220550667793189	-1
44	Chloroalkane and chloroalkene degradation [PATH:ko00625]	High	High_6	-0.0269799164680345	1
45	Chloroalkane and chloroalkene degradation [PATH:ko00625]	High	High_5	0.148556907171454	1
